iter	Logloss
0	0.6634654999
1	0.6351338704
2	0.6058742523
3	0.5848161697
4	0.5623498281
5	0.5451641083
6	0.5309126854
7	0.5151365916
8	0.5046907107
9	0.4948466301
10	0.4836599032
11	0.4767630577
12	0.4726706823
13	0.4660586675
14	0.4593422254
15	0.4552711169
16	0.4506008784
17	0.4477537791
18	0.4417617798
19	0.4372890472
20	0.4337706884
21	0.4308110237
22	0.4241953532
23	0.4192467372
24	0.4161734899
25	0.4139200211
26	0.4109784126
27	0.4066523234
28	0.4046859741
29	0.4027531306
30	0.4005795161
31	0.3975516637
32	0.3951616923
33	0.393437767
34	0.3925559998
35	0.3912254969
36	0.3892405828
37	0.3877670288
38	0.385654672
39	0.3826996485
40	0.3813603719
41	0.3803285917
42	0.379181385
43	0.3771059354
44	0.3757699966
45	0.3749823888
46	0.3728001912
47	0.3708187739
48	0.3695001602
49	0.3671877861
50	0.3654075623
51	0.3644330343
52	0.363626639
53	0.3630686442
54	0.3618284543
55	0.3606795311
56	0.3598406156
57	0.3576782227
58	0.3563217799
59	0.3556477229
60	0.3539691289
61	0.3528925896
62	0.3515974045
63	0.3502429326
64	0.3485402425
65	0.3476998647
66	0.3462279638
67	0.3452534676
68	0.3442295392
69	0.3427968025
70	0.3420659701
71	0.3410915375
72	0.3402339617
73	0.3387838999
74	0.3377057393
75	0.3365037282
76	0.3352900823
77	0.3347370783
78	0.3339512825
79	0.3333553314
80	0.3326052984
81	0.3318324407
82	0.3308271408
83	0.3300742467
84	0.3288740794
85	0.3281195958
86	0.3271558762
87	0.3259384473
88	0.3245798111
89	0.3234279633
90	0.322269249
91	0.3215669632
92	0.3208538691
93	0.3201249758
94	0.3195617358
95	0.3191617012
96	0.3187105179
97	0.3181152026
98	0.3175468445
99	0.3170413335
100	0.316220061
101	0.3152764002
102	0.3146231333
103	0.3144606908
104	0.3132809003
105	0.3124977748
106	0.3118776004
107	0.3108061473
108	0.3094957352
109	0.3088345846
110	0.3075392723
111	0.3070470174
112	0.3063016256
113	0.3058473587
114	0.3042358081
115	0.3035497665
116	0.3022927602
117	0.3010811488
118	0.3004103343
119	0.2993034363
120	0.2982745806
121	0.2972318331
122	0.2963867188
123	0.2958940188
124	0.2955734889
125	0.295182546
126	0.2945446332
127	0.2940097809
128	0.2928619385
129	0.2920407295
130	0.2912003517
131	0.2905349731
132	0.2896220525
133	0.2885457993
134	0.2877463977
135	0.2875845909
136	0.2866615295
137	0.2858346621
138	0.2846927325
139	0.284052213
140	0.2833538055
141	0.2826676051
142	0.2819151243
143	0.2806740443
144	0.2793700536
145	0.2785969416
146	0.2776173274
147	0.2771858851
148	0.2766556422
149	0.2762415568
150	0.2753879229
151	0.2747015953
152	0.2739114761
153	0.2731094996
154	0.2727652868
155	0.2721471151
156	0.271401151
157	0.2706727346
158	0.2701238314
159	0.26931626
160	0.268881162
161	0.2675962766
162	0.2671175321
163	0.266611131
164	0.2656617165
165	0.2651258787
166	0.2636506875
167	0.2629972299
168	0.2625039101
169	0.2620394071
170	0.2614584764
171	0.261027511
172	0.2604334195
173	0.2600090504
174	0.2592481931
175	0.258630832
176	0.2579902331
177	0.2567398548
178	0.2562466939
179	0.2556391716
180	0.2552605947
181	0.254394118
182	0.2534252167
183	0.2530405045
184	0.252410682
185	0.2513509274
186	0.2506432215
187	0.2502063115
188	0.2495658716
189	0.2493372758
190	0.2487798691
191	0.2479820251
192	0.2463268439
193	0.24545784
194	0.2452672799
195	0.2449100176
196	0.2441082954
197	0.2433346748
198	0.2430395603
199	0.2417993387
200	0.2414525032
201	0.2410673618
202	0.2406157811
203	0.2405044238
204	0.2399876912
205	0.2394542217
206	0.2393097878
207	0.2385750612
208	0.2384600639
209	0.2381075223
210	0.2377078374
211	0.2370527903
212	0.2362312317
213	0.2357273261
214	0.2352536837
215	0.234677728
216	0.2338170052
217	0.2333498478
218	0.2330731233
219	0.2327517192
220	0.2322306315
221	0.2318007469
222	0.2313527743
223	0.2310418924
224	0.2303877831
225	0.2293679237
226	0.2287038644
227	0.2281132857
228	0.22746164
229	0.2269358158
230	0.2263969421
231	0.2258186499
232	0.2251891772
233	0.2241380215
234	0.2236150583
235	0.2231144269
236	0.2222910881
237	0.2219555855
238	0.221466589
239	0.2207760175
240	0.219832468
241	0.2190418561
242	0.2181307316
243	0.2175582568
244	0.2170815468
245	0.2165759087
246	0.2158642769
247	0.2149093469
248	0.2139504751
249	0.2136869431
