iter	Passed	Remaining
0	3	809
1	7	884
2	11	905
3	14	892
4	17	867
5	21	871
6	24	835
7	26	815
8	29	801
9	32	778
10	34	751
11	36	733
12	39	717
13	41	700
14	43	686
15	45	670
16	47	654
17	49	640
18	51	628
19	53	618
20	55	607
21	57	596
22	59	584
23	61	574
24	62	563
25	64	554
26	65	544
27	67	534
28	69	525
29	70	516
30	71	506
31	73	497
32	74	488
33	75	480
34	77	473
35	78	466
36	79	459
37	81	452
38	82	445
39	83	439
40	84	432
41	86	427
42	87	421
43	88	415
44	90	410
45	91	404
46	92	400
47	94	395
48	95	391
49	96	387
50	98	382
51	99	379
52	101	376
53	102	371
54	103	367
55	104	363
56	106	360
57	107	356
58	108	352
59	110	349
60	111	345
61	112	342
62	114	338
63	115	335
64	116	331
65	117	328
66	119	325
67	120	322
68	121	319
69	123	316
70	124	313
71	125	311
72	127	308
73	128	305
74	129	303
75	131	300
76	132	298
77	134	295
78	135	293
79	136	290
80	137	287
81	139	285
82	140	283
83	142	280
84	143	278
85	144	276
86	146	273
87	147	271
88	148	269
89	150	266
90	151	264
91	152	262
92	153	259
93	155	258
94	156	255
95	158	253
96	159	251
97	160	248
98	161	246
99	162	244
100	164	242
101	165	239
102	166	237
103	167	235
104	168	233
105	170	230
106	171	228
107	172	226
108	173	224
109	174	222
110	175	220
111	176	217
112	178	215
113	179	213
114	180	211
115	181	209
116	182	207
117	183	205
118	184	203
119	185	201
120	187	199
121	188	197
122	189	195
123	190	193
124	191	191
125	192	189
126	194	188
127	195	186
128	196	184
129	197	182
130	199	181
131	200	179
132	201	177
133	203	175
134	204	173
135	205	172
136	206	170
137	207	168
138	208	166
139	210	165
140	211	163
141	212	161
142	213	159
143	214	157
144	215	156
145	216	154
146	217	152
147	219	150
148	220	149
149	221	147
150	222	145
151	223	144
152	224	142
153	226	141
154	227	139
155	228	137
156	229	136
157	230	134
158	231	132
159	232	131
160	234	129
161	235	127
162	236	126
163	237	124
164	239	123
165	240	121
166	241	120
167	242	118
168	244	117
169	245	115
170	246	113
171	247	112
172	249	110
173	250	109
174	252	108
175	253	106
176	254	105
177	256	103
178	257	102
179	258	100
180	259	99
181	260	97
182	262	95
183	263	94
184	264	92
185	265	91
186	266	89
187	267	88
188	269	86
189	270	85
190	271	83
191	272	82
192	273	80
193	274	79
194	276	77
195	277	76
196	278	74
197	279	73
198	280	71
199	282	70
200	283	69
201	284	67
202	285	66
203	287	64
204	288	63
205	289	61
206	290	60
207	292	58
208	293	57
209	295	56
210	296	54
211	297	53
212	298	51
213	299	50
214	301	49
215	302	47
216	303	46
217	304	44
218	305	43
219	306	41
220	308	40
221	309	39
222	310	37
223	311	36
224	313	34
225	314	33
226	315	31
227	316	30
228	317	29
229	318	27
230	320	26
231	321	24
232	322	23
233	323	22
234	325	20
235	326	19
236	328	17
237	329	16
238	330	15
239	331	13
240	332	12
241	333	11
242	335	9
243	336	8
244	337	6
245	338	5
246	339	4
247	341	2
248	342	1
249	343	0
