ward,latitude,longitude
Colaba,18.9067,72.8147
Fort,18.9345,72.8359
Dadar,19.0178,72.8478
Worli,19.0176,72.8166
Bandra,19.0596,72.8295
Khar,19.0696,72.8266
Santacruz,19.084,72.8367
Andheri East,19.1136,72.8697
Andheri West,19.1197,72.8468
Jogeshwari,19.1364,72.8478
Goregaon,19.1646,72.8493
Malad,19.1864,72.8484
Borivali,19.2307,72.8567
Dahisar,19.254,72.859
Kurla,19.0726,72.8826
Ghatkopar,19.0857,72.9081
Vikhroli,19.1079,72.9272
Powai,19.1197,72.905
Mulund,19.1726,72.957
Bhandup,19.1485,72.9357
Chembur,19.0522,72.9005
Govandi,19.055,72.927
Mankhurd,19.049,72.933
Sion,19.043,72.862
